Id;Name
569;Крысько В.Г.
803;Чичестер Ф.
1381;Лихтенштейн Е.С.
1947;Гальковский Н.М.
580;Дурасов Г.П.
801;Слокам Джошуа.
62;Ферсман А.Е.
1407;Миончинская Л.А.
1704;Землянов В.М.
2021;Брусникин А.Ю.
1106;Овчинников В.В.
864;Манн Г.
1758;Претор-Пинней Г.
1973;Аллен Р.С.
971;Минкевич Вл.
1336;Потапов В.М.
617;Долгих С.Т.
1053;Барышев М.И.
1959;Берн Э.
1604;Разгонов С.Н.
836;Ладлем Г.
1825;Круковер В.
708;Бобев Петр.
1794;Григорьева Т.П.
1617;Гюнтер Оггер.
1247;Дежкин В.В.
111;Емец Д.А.
1101;Павлов Д.В.
1163;Пухальский Влодзимеж.
1698;Эйхгорн Г.
1771;Риксон Фред.Б.
1043;Фадеев А.А.
60;Евдокимов П.Н.
1452;Слезкин Л.Ю.
104;Федотов Г.Я.
217;Шкловский В.Б.
601;Пиотровский Б.Б.
804;Уайтсайд Т.
1157;Пешкова И.М.
2023;Томчин А.Б.
1597;Катышкин И.С.
2001;Соколов-Микитов И.С.
57;Щелоков А.А.
1695;Посошков И.Т.
1334;Астанин Л.Ю., и др.
2013;Пересвет А.
408;Шеклеин А.В.
1945;Федорченко С.
1115;Безыменский Л.
1535;Мавродин В.В.
1327;Гречихин А.И.
1546;Матузова В.И.
1444;Фоменко В.Д.
478;Вишневский Е.В.
113;Зайцева С.Д.
661;Некрасов С.М.
1980;Мартиросян А.Б.
54;Попов А.Ю.
74;Раскин А.Г.
992;Крошо Э.
641;Голубецкий И.С.
1006;Тургенев И.С.
538;Флоренский П.А.
166;Гродненский Н.Н.
1509;Ныммсалу Ф.Р.
182;Стригин Е.М.
1971;Гуляр П.
137;Бенякова М.В.
700;Волошина П., Кульков Е.
1411;Александров Ю.Н.
1344;Вейганд-Хильгетаг
153;Хантер Э.
1893;Инаба Чихару
270;Чуковский К.И.
2066;Косарев М.Ф.
730;Беляев А.
1246;Алферова Г.В.
946;Кэррингтон Р.
247;Недоруб С.И.
194;Скорцени О.
1685;Девятов А.С.
195;Ляховский А.
865;Писемский А.Ф.
724;Кашук Л.А.
960;Хейердал Т.
227;Безруков В.
1465;Ерошкин Н.П.
1788;Терещенко А.С.
1731;Бухгайт Герд.
114;Толкиен Дж.Р.
644;Шмелев И.И.
656;Дрожжин С.
1559;Шаумян Л.С.
488;Васильев Л.С.
140;Глуховский Д.А.
2016;Кофанов А.
269;Рябинин Б.С.
402;Кирквуд К.П.
984;Давыдов Ю.В.
1537;Савельав П.С.
667;Пшеничная Л.
1581;Спегальский Ю.П.
218;Гальперштейн Л.Я.
1676;Куприн А.М.
888;Купер Д.Ф.
357;Пыляев М.И.
1166;Чивилихин В.А.
1029;Воробьева И.А.
365;Чалоян В.К.
1256;Репин Л.Б.
1508;Герман В.Е.
303;Похлебкин В.В.
1181;Подобедова О.И.
1113;Яковлев Н.Д.
890;Карпов В.В.
1948;Куликов А.С.
95;Ауэрбах Ш.
302;Макнамара Э.
1534;Степняк-Кравчинский С.М.
831;Кинк Х.А.
242;Колфер Й.
1843;Гаджиев К.С.
1368;Вавилов С.И.
1050;Золя Э.
1573;Бабаджанян А.К.
1939;Платонов О.А.
622;Ганичкина О.А.
925;Морозова Т.Г.
1038;Гаглов И.И.
854;Артур Конан Дойль
1734;Землянов В.М.
49;Широкорад А.Б.
1204;Закарая П.
1761;Шелленберг В.
1917;Алексиевич С.А.
2017;Куланов А.Е.
2036;Храмкина М.Н.
1238;Натазон Е.А.
986;Стендаль
72;Рыженко В.И.
1227;Греков Б.Д.
1114;Сафронов И.В.
105;Богатырев Е.Е.
1021;Тенихина В.М.
284;Симоненков В.И.
163;Есикава Э.
1092;Мерецков К.А.
170;Писарская Л.В.
1984;Рудаков В.Н.
16;Чуприн К.В.
1969;Кайл К.
1773;Рубцов Ю.В.
1339;Авижюс Й.
929;Делаборд Ж., Лоофс Х.
1649;Асенов Драгомир.
94;Демин В.Н.
41;Обухов В.Г.
1072;Гордиенко А.Н.
250;Пулман Ф.
2047;Кронгауз М.
346;Яковлев Е.Г.
1803;Климковский Е.
589;Геза Фехер
380;Свердлов М.Б.
1942;Семенов В.И.
1705;Бабец О.
462;Увесен А.
534;Никольская Т.Н.
511;Шимановский В.Ю.
293;Смыслов О.С.
1221;Бахрис Учок.
1222;Коровченко Г.М.
1606;Басилов В.И.
1265;Сабуров А.Н.
1552;Яковлев Н.И.
1099;Шарипов А.А.
84;Шаваев А.Г.
1495;Руге В.
743;Выготский М.Я.
403;Соловьев С.М.
1242;Мацуленко В.А.
751;Гурский И.П.
856;Грачев А.М.
1056;Измайлова Р.
1977;Игнатов В.Д.
495;Хопкирк Питер.
907;Сафонов В.
1194;Завадская Е.В.
769;Ястребов А.Л.
1150;Сидихменов В.Я.
1034;Губарев В.С.
1532;Лапаури А.А.
1424;Гольдфарб Н.И.
36;Колесникова А.Ф.
1241;Вайда П.
975;Паустовский К.Г.
1556;Захаров И.К.
440;Хеймен Р.
1742;Петров М.Н.
208;Лойко Р.Э.
747;Выгодский М.Я.
844;Берзин Э.О.
46;Глазунов О.Н.
1131;Здислав Вдовинский
631;Садыров А.Ж.
989;Дубровский Е.В.
1539;Крывелев И.А.
2030;Райт Л.
721;Пушкин А.С.
1764;Чванов М.А.
1600;Благодатов А.В.
1982;Праттчет
593;Людмила Живкова.
476;Кухта Ладислав.
453;Ткачук Т.М.
1550;Стюарт Е.К.
1849;Брилев С.
1435;Левкин Г.Г.
1571;Лаврецкий И.Р.
1097;Бережков В.
1962;Кондрашов В.В.
304;де Кюстин Астольф.
2062;Файн Э.
341;Дубов И.В.
1607;Чехов А.П.
1167;Будыко М.И.
1284;Великович Л.Н.
1012;Пришвин М.М.
1388;Golovchinskaja L.S., Головчинская Л.С.
2049;Гудков В.М.
1541;Тюляев С.И.
1946;Цыркун С.А.
1120;Родичев Н.
119;Вильмонт Е.Н.
1002;Виноградов А.К.
899;Шульц Д.В.
1473;Синтаро Накамура.
1243;Тихомирова М.А.
2065;Брюхов В.П.
1922;Володихин Д.М.
1309;Голинков Д.Л.
590;Бондарь И.В.
1553;Емельянов Л.А.
862;Никифоровский В.А.
301;Пауэлл Т.
2064;Бобров Ю.Г.
820;Корбетт Д.
2056;Фейнман Р.
1269;Дриянский Е.Э.
1160;Соколов В.Е.
294;Герасимова С.А.
